what,kind,bundleId,bundleVersion,description,time
error,log,,,"SOPC design not set.",1380580081618
error,log,,,"CPU module not set.",1380580081618
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580081628
error,log,,,"CPU architecture type not set. ",1380580081638
error,log,,,"CPU master group not set.",1380580081638
error,log,,,"Connected system ID hash not found on target at expected base address.",1380580081648
error,log,,,"Connected system timestamp not found on target at expected base address.",1380580081648
error,log,,,"SOPC design not set.",1380580081658
error,log,,,"CPU module not set.",1380580081668
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580081668
error,log,,,"CPU architecture type not set. ",1380580081678
error,log,,,"CPU master group not set.",1380580081688
error,log,,,"Connected system ID hash not found on target at expected base address.",1380580081688
error,log,,,"Connected system timestamp not found on target at expected base address.",1380580081698
error,log,,,"SOPC design not set.",1380580081708
error,log,,,"CPU module not set.",1380580081728
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580081728
error,log,,,"CPU architecture type not set. ",1380580081738
error,log,,,"CPU master group not set.",1380580081748
error,log,,,"SOPC design not set.",1380580081758
error,log,,,"CPU module not set.",1380580081768
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380580081778
error,log,,,"CPU architecture type not set. ",1380580081778
error,log,,,"CPU master group not set.",1380580081788
error,log,,,"SOPC design not set.",1380580081788
