what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380651614528
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1380651618048
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1380651618968
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1380651624668
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.smartEnter",1380651629228
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1380651632638
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1380651633818
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1380651644088
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380651648928
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1380651650988
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380651651258
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380651728238
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380651756918
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380651813578
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1380651814988
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380651870328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380651871608
error,log,,,"SOPC design not set.",1380651871688
error,log,,,"CPU module not set.",1380651871708
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380651871718
error,log,,,"CPU architecture type not set. ",1380651871728
error,log,,,"CPU master group not set.",1380651871738
error,log,,,"SOPC design not set.",1380651871748
error,log,,,"CPU module not set.",1380651871758
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1380651871758
