what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380292240546
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1380292240556
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380292245261
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380292278580
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380292299067
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380292300142
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1380292300219
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1380292300736
stopped,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1380292300736
stopped,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1380292300736
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1380292300758
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1380292300762
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1380292300811
stopped,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1380292300811
stopped,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1380292300811
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1380292300811
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1380292300811
